                             Jacobi Method ,,,,   Gauss-Seidel Method,,,                 SOR Method,,
Iteration,X1,X2,X3,X1,X2,X3,X1,X2,X3
1,0,0,0,0,0,0,0,0,0
2,0.571429,0.625,1,0.571429,0.839286,1.425595,0.857143,1.419643,2.497768
3,1.375,1.339286,1.389881,1.709609,1.978901,2.644415,3.40896,4.018545,3.812473
4,1.755527,1.835565,1.910714,2.414572,2.622775,2.91921,4.098571,4.093029,3.690949
5,2.198448,2.23868,2.183691,2.834979,3.010325,3.083661,3.639523,3.70643,3.310775
6,2.451019,2.541264,2.472337,3.086625,3.24209,3.182063,3.378875,3.467984,3.245765
7,2.700422,2.780301,2.649054,3.237199,3.38078,3.240944,3.38845,3.543835,3.304414
8,2.860796,2.962185,2.813594,3.327299,3.463769,3.276178,3.462754,3.591692,3.342782
9,3.004308,3.104595,2.924095,3.381213,3.513427,3.29726,3.476966,3.604534,3.337467
10,3.103582,3.213663,3.019587,3.413474,3.543141,3.29726,3.466917,3.588474,3.328573
11,3.187371,3.298636,3.087401,3.432778,3.560922,3.309876,3.458971,3.585364,3.326283
12,3.247949,3.363965,3.143458,3.444329,3.571561,3.317425,3.459824,3.585681,3.328147
13,3.297322,3.41471,3.184635,3.541241,3.577927,3.321942,3.461463,3.587842,3.328984
14,3.333984,3.453813,3.217779,3.455376,3.581737,3.324644,3.462004,3.587694,3.328934
15,3.363244,3.484134,3.242627,3.457851,3.584016,3.326262,,,
16,3.385324,3.50753,3.262311,3.459332,3.58538,3.327229,,,
17,3.402727,3.525652,3.277251,3.460218,3.586197,3.327809,,,
18,3.415986,3.539648,3.288972,3.461066,3.586977,3.328362,,,
19,3.426358,3.550481,3.297935,,,,,,
20,3.434308,3.558852,3.304926,,,,,,
21,3.440497,3.565328,3.310296,,,,,,
22,3.445258,3.570334,3.31447,,,,,,
23,3.448955,3.574207,3.317685,,,,,,
24,3.451804,3.577201,3.320179,,,,,,
25,3.45401,3.579516,3.322102,,,,,,
